Id;Label1;Type;Centrality_Score;Label;section;q_p;sec_level;css_qp;pims_qp
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe8192_supported;ffdhe8192;Primitive;24;ffdhe8192;PRIMITIVE;0.25;256;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519;ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448;ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ed25519;ffdhe8192 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ed448;ffdhe8192 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ecdh_secp256r1;ecdh_secp256r1;Primitive;24;ecdh_secp256r1;PRIMITIVE;0.75;128;;
secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / ed25519;secp256r1 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / ed448;secp256r1 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ed448;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;secp256r1 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;secp256r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;secp256r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / ed25519;secp256r1 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;secp256r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;secp256r1 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;secp256r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / ed448;secp256r1 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
secp256r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;secp256r1 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ffdhe3072 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe3072_supported;ffdhe3072;Primitive;24;ffdhe3072;PRIMITIVE;0.75;128;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ffdhe3072 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / ed25519;ffdhe3072 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ffdhe3072 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ffdhe3072 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ffdhe3072 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / ed448;ffdhe3072 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;ffdhe3072 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ed448;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / ed448;Supernode;1;;;;;;
ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;ffdhe3072 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;ffdhe3072 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;ffdhe3072 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / ed25519;ffdhe3072 / TLS_AES_256_GCM_SHA384 / ed25519;Supernode;1;;;;;;
